API NO.,PlatLink,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,PlatFilePath
32946654,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946654&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946654,Links Images GIS Viewer Completion,08,CMC PEONY F,0365WC,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895168,Horizontal,New Drill,N,11303,data\plat_files\0365WC\32946654.tif
32946699,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946699&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946699,Links Images GIS Viewer Completion,08,CRESPI C30A (61821),1H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/03/2024,895639,Horizontal,New Drill,N,10605,
32946698,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946698&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946698,Links Images GIS Viewer Completion,08,CRESPI C30B (61852),2H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/03/2024,895636,Horizontal,New Drill,N,10605,
32946697,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946697&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946697,Links Images GIS Viewer Completion,08,CRESPI C30C (61827),3H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/05/2024,895633,Horizontal,New Drill,N,10605,
32946696,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946696&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946696,Links Images GIS Viewer Completion,08,CRESPI C30D (61848),4H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/05/2024,895632,Horizontal,New Drill,N,10605,
32946694,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946694&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946694,Links Images GIS Viewer Completion,08,CRESPI C30E (61850),5H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/05/2024,895626,Horizontal,New Drill,N,10605,
32946695,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946695&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946695,Links Images GIS Viewer Completion,08,CRESPI C30F (61820),6H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/05/2024,895620,Horizontal,New Drill,N,10605,
32946693,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946693&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946693,Links Images GIS Viewer Completion,08,CRESPI E30A (62045),1H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/05/2024,895616,Horizontal,New Drill,N,10605,
32946692,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946692&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946692,Links Images GIS Viewer Completion,08,CRESPI E30B (62153),2H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/05/2024,895615,Horizontal,New Drill,N,10605,
32946691,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946691&rrcActionMan=H4sIAAAAAAAAAM1Ry2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Af447tyCLROz6UXMTs7GkajWXAOchZcgLhBbOs2uTA8t9g1_AAL_26OehyjZLRmyXzoyGx426i6KBQJJGzkw_2-Jqgy7NB57wb7aLB3KT5NBj_PrqwLJCqgN-kUul24094TUQKaNOGwCy9GY3siqgJ-FaaJy7ZGG9moUfev2k9myUieSt5mUMLRWDfEvUvZh4x-zEKu5pVeFsAFvWE5JI2ZK8-cunCrZOLPaoqXerYwamvwWw2_diYOzVqXs9J3SxB8VlDxuciohGreEri-_186_wKp0gpGpwIAAA,32946691,Links Images GIS Viewer Completion,08,CRESPI E30C (61849),3H,"PIONEER NATURAL RES. USA, INC.(665748)",MIDLAND,Submitted: 11/30/2023 Approved: 01/05/2024,895614,Horizontal,New Drill,N,10605,
